Wordpair,GoldSimilarity,WW,CC,BB,WC,CW
juice-milkshake,3.17,0.71134345,-0.147669089,0.207045615,-0.027917475,-0.14160502
window_blind-curtain,3.25,0,0,0,0,0
criminal-offender,3.5,0.683454018,0.05891088,0.465361772,0.199237865,0.050195462
pancreatic_cancer-chemotherapy,1.83,0.709137124,-0.250922948,0.105950184,-0.233740777,-0.028118014
past-antecedent,2.75,0.30666554,-0.030561004,0.03451057,-0.185742646,-0.023867881
united_nations-european_parliament,2.75,0.46630433,0.072295591,0.391799986,0.281861186,0.005343192
song-performer,1.83,0.483323663,-0.060407441,0.215459675,0.120768301,-0.063783839
gun-notebook,0,0.242820695,-0.333684921,-0.007360625,-0.203015745,0.28214711
acetylcholine-iris,0.58,0.137438716,-0.171599249,-0.02619959,0.070308276,-0.091778567
alphabet-pen,0.58,0.431434274,0.186645776,0.337970486,0.022439916,0.09889517
chorus-singer,2.67,0.484111667,-0.505671202,-0.148091001,0.212810308,-0.492506267
wood-blanket,0.5,0.481619923,0.000851093,0.280958788,0.087873837,0.01754097
soldier-peace,1.25,0.320189655,0.190960675,0.342007618,0.179064542,0.166055277
english-american,3.33,0.497432947,0.146461496,0.370928116,0.038022789,0.188059401
lizard-crocodile,3.25,0.80581671,-0.042238887,0.483763993,0.152291626,0.102891251
money-cash,3.42,0.830661893,-0.054173514,0.427414447,0.068073481,0.100766763
paul_the_octopus-octopus,3.5,0,0,0,0,0
calendar-holiday,2.08,0.499336541,0.088651612,0.177434698,-0.149180555,-0.155075923
base-chemical_substance,3,0.234327271,0.325611343,0.35220471,0.264329926,0.062879618
government-lizard,0,0.001024666,-0.098602906,0.078519255,0.269294024,-0.034573719
jpy-money_laundering,1.58,0.247726351,0.015505276,0.070373133,-0.027920073,-0.087889764
deepmind-google_deepmind,3.92,0,0,0,0,0
chess-check,1.67,0.267005907,-0.2791453,0.056632038,-0.102044068,0.215696735
sonnet-beauty,1.33,0.417810261,-0.106878909,0.148900464,-0.109357597,0.099125594
worker-office,1.75,0.413318217,0.039145149,0.198220658,0.008575706,-0.036884662
currency-exchange,1.67,0.4413867,-0.00488269,0.330201665,0.071564898,0.207692966
polyester-cotton,3.08,0.523115578,0.19052887,0.293363775,-0.066179771,-0.155770132
tribunal-justice,2.5,0.678523223,0.199363828,0.464286481,-0.092551297,0.061406486
tail-rear,3.25,0.543688774,0.345034203,0.533806292,0.086347379,0.102341591
accident-book,0,0.151961714,0.17392922,0.356929741,0.243088796,0.321008999
squall-wind,2.75,0.530596852,-0.048740964,0.118460409,0.011942153,-0.311890304
piano-harmony,1.58,0.570602536,0.076641572,0.100600866,-0.269609646,-0.22651799
sultan-ministry,1.5,0.166925222,0.046736665,0.223573837,0.205010548,0.069461361
desert-dune,2.42,0.529232029,0.097082265,0.27915849,0.005356377,-0.065224849
multiplication-division,2.67,0.236010446,0.00682474,-0.068186387,-0.178787134,-0.190250501
virus-blood,1.58,0.484623345,0.007313818,0.195050493,-0.113751806,0.039385903
ice_age-statute,0,0.1155046,0.024721205,-0.052366663,-0.177810207,-0.067942474
sword-environment,0,0.04971015,0.119340502,0.062589504,-0.081228711,0.046651299
elementary_school-pen,1.5,0.09396597,-0.1102067,0.002125982,0.17308338,-0.152848417
cricket-supporter,1.67,0.220775051,-0.186711695,0.075759904,0.165982614,-0.045428242
sculpture-statue,3.83,0.651252547,-0.16133891,0.344385266,0.051491927,0.205167115
web_browser-mozilla_firefox,3.58,0.867851265,0.101079696,0.553937912,0.084608728,0.166545888
fox_terrier-canon,0,0.208680496,0.077826147,0.16315111,-0.027204871,0.057677157
hsbc-britain,1.67,0.242590516,-0.020122936,0.29108833,0.008456269,0.385903739
bible-gospel,3.08,0.717331946,0.192984998,0.490984589,0.113711804,-0.014037142
dress-dance,1,0.511862545,0.067633256,0.22864361,-0.183461555,0.031655232
array-list,3.92,0.26413092,-0.010708854,-0.087547444,-0.186795071,-0.218538851
cell-lock_up,3.5,0.140660509,0.053816888,0.165717691,-0.002679978,0.139917582
essay-homework,2.5,0.305594385,-0.053191345,0.264947951,0.234381243,0.070338279
computer-machine,3.33,0.677047332,0.100149873,0.408493573,0.025191632,0.103558617
panda-polar_bear,3.25,0.462604612,-0.021390259,0.112161524,0.032547284,-0.263429284
neurosis-mind,1.75,0.497754484,0.047873266,0.270912021,-0.021124121,-0.010532271
campaign-monkey,0,0.129996218,-0.093089163,0.044646176,0.015477254,0.034858905
faraday_constant-rucksack,0,0.203885555,0.143550766,0.246628762,0.028413602,0.202063531
palace-skyscraper,2.33,0.474657921,-0.002442182,0.365266263,0.166153361,0.143423095
helicopter-plane,3,0.656611323,-0.216401249,0.205705566,-0.021988578,0.024984227
university_of_cambridge-oxford_university,3.25,0,0,0,0,0
flag-pole,1.42,0.273018062,0.032405127,0.192671296,0.038043953,0.09678451
window-roof,2.33,0.725185394,0.079208545,0.496525943,0.318267882,0.033345889
card_game-frisbee,2.5,0.324128747,-0.066049635,-0.007036213,-0.117035292,-0.153134212
malware-worm,3.42,0.478231251,0.259912699,0.408681357,0.030652486,0.117897093
planet-star,2.58,0.447485888,0.173569173,0.409636468,0.126456283,0.167830999
runner-athlete,3.42,0.649170756,-0.075150535,0.278175202,-0.003095889,-0.062819399
caliber-umbrella,0,0.136464053,0.04435702,0.209545997,0.077143525,0.199992687
wifi-wikileaks,0.5,0.285883456,-0.044318028,0.137918159,0.053592883,-0.028184872
drought-water,2,0.48723027,-0.224470197,0.067692715,-0.126346871,0.005068177
airport-piece,0.08,0.011359078,0.096474297,-0.03183927,0.047558596,-0.227676305
orchestra-band,3.42,0.459326208,0.030392272,0.2915833,0.075893228,0.031416833
mojito-mohito,4,0,0,0,0,0
syllabus-exam,2.42,0.671059291,-0.331710935,0.205502242,-0.112003863,0.186175924
theorem-theory,2.42,0.63290894,-0.213153554,0.213876826,-0.155861959,0.156425962
yo_yo-toy,3,0.477026193,0.367416441,0.579162946,0.261045531,0.277479768
blizzard-rain,2.58,0.578275919,-0.031111732,0.30681448,0.121709563,-0.095480509
historian-historiographer,3.58,0.67834425,-0.045749079,0.34251223,-0.178322762,0.160879463
siemens-electric_train,1.75,0.509649216,-0.141930223,0.221625358,0.049467226,0.083028905
century-year,2.83,0.470601319,-0.148724076,-0.08652959,-0.286137402,-0.193599257
alloy-steel,3.5,0.701817316,-0.228634179,0.309454918,0.255060583,-0.051728296
magistrate-judge,3.58,0.724630442,0.244431302,0.618998862,0.14385237,0.349098197
chaos-class,0.17,0.166794484,-0.039506641,0.06745524,0.123185575,-0.102943737
distance_education-internet,1.75,0.306360543,-0.023129349,0.183178314,0.004079713,0.109818654
sand-foot,0.42,0.458986968,-0.013829327,0.299936175,0.141293787,0.069424987
imf-deutsche_bank,2.83,0.504425883,-0.043087844,0.380626254,0.18022719,0.060603298
guardian-times,3.17,0.34872216,-0.460271065,-0.024215978,0.095184166,-0.027942285
silkworm-silk_road,0.58,0.288246691,-0.122938894,0.074602565,-0.036432505,0.035504591
freedom-oasis,0.58,0.13879557,0.241993933,0.22891745,0.132472329,-0.064415693
cytoplasm-digit,0.67,0.206504402,0.196484756,0.177035059,0.004195985,-0.073523191
protestant-christian,3.5,0.697822434,0.170809001,0.507183075,0.180294454,0.118826337
leonardo_da_vinci-the_last_supper,2.33,0,0,0,0,0
map-square,1,0.380885988,-0.050884809,0.077818729,-0.082965478,-0.089090556
parliament-congress,3.5,0.529997584,0.113832242,0.30996542,-0.117034406,0.085953747
fundraising-development,1.17,0.408789659,0.072843385,0.217906147,0.055999886,-0.160457621
pathology-hematology,3.08,0.832732131,-0.047734693,0.458105569,0.145920375,0.052751034
valley-depression,2,0.215814814,-0.107471511,-0.070454477,-0.355305731,0.120475091
telescope-chair,0.25,0.172681302,-0.082918641,0.106371187,0.103621906,0.013827633
heavy_metal-stage,1.42,0.27001822,-0.02233788,-0.069344983,-0.13291283,-0.223025203
globalism-visa,1.5,0.171081543,-0.06680423,0.091496632,-0.140227497,0.224371165
bat-vampire,2.33,0.287603438,-0.016833962,0.249356568,0.140725308,0.138313353
deputy-officer,2.83,0.591094648,0.137670585,0.399184942,0.038527925,0.102143168
electricity-case,0.42,0.171279341,0.1084096,0.106196056,-0.108756067,0.036792658
alien-outlander,3.67,0.403482878,-0.117711738,0.022326754,-0.231562509,-0.01398222
button-sewing_machine,1.42,0.359915257,0.152067304,0.415994356,0.179965839,0.26373753
wizard-cable,0,0.185860381,-0.03232196,0.138718613,0.126127481,0.00154411
philosopher-racing,0,-0.024544157,0.090792071,0.301825243,0.37551938,0.229463279
popcorn-cinema,1.5,0.345380357,-0.008055725,0.253129214,0.150912359,0.118654042
agriculture-plant,2.25,0.438322544,-0.460172355,-0.035680059,0.050084334,-0.098993048
poet-journalist,2.33,0.667134841,0.029762981,0.432006947,0.081825053,0.172728548
weather-wave,0.83,0.374988943,-0.082250242,0.150699407,-0.119740188,0.111509323
civilization-lifestyle,1.5,0.374424428,-0.012353548,0.316758096,0.280475106,0.046301534
snow-ice,2.75,0.724990335,-0.046222052,0.353336841,0.049289215,0.041415376
world_war_ii-beethoven,0.08,0.104101047,0.055928015,0.051347449,-0.035842801,-0.027472644
motherboard-mainboard,4,0.854965993,0.074549292,0.537475288,0.121074557,0.220015649
club-mark,0.33,0.275525808,-0.182675123,-0.026300558,-0.051194467,-0.089771785
alexander_the_great-conqueror,2.92,0,0,0,0,0
app-galaxy,0.42,0.24014835,0.096185899,0.18735994,0.126307167,-0.025022128
cloud_computing-rain,0,0.056321226,-0.208209276,-0.044015239,0.272436023,-0.204124123
television-actor,1.58,0.577998996,0.19154945,0.390376233,0.073873587,0.004666401
delta-sea,2.42,0.320455909,0.05354924,0.288257211,0.150783548,0.093552625
yarn-thread,3.92,0.751067191,0.188258886,0.427425661,-0.040395048,-0.079909583
pedestrian_crossing-person,1.42,0.22159086,-0.124248728,0.08345817,-0.240260674,0.303998053
protein-handle,0,0.134160229,-0.026616158,-0.018247098,0.077147891,-0.21918924
u2-ronaldo,0.42,0,0,0,0,0
apple-iphone,2.58,0.741736664,0.128097057,0.439934816,-0.03030974,0.116082102
peppermint-gum,1.83,0.739099666,-0.047015017,0.255312637,-0.133981079,-0.138605825
poster-paper,2.83,0.492557883,-0.139914408,0.299587506,0.247353256,0.040632822
unicef-root,0,0.071441293,-0.06218056,-0.085016482,0.040351822,-0.225342168
xenophobia-racism,3.42,0.886898339,-0.123935468,0.384063624,-0.085800474,0.085148722
woody_allen-lens,0.33,0.135485091,0.106042057,0.222654641,0.013303422,0.241173714
lamp-genie,2.08,0.457232567,-0.045683496,0.135602249,-0.218952401,0.053119284
navy-island,0.92,0.252028838,0.052813559,0.060462471,-0.126444183,-0.080868785
wall-castle,2,0.423994601,0.136582681,0.366214194,-0.003350034,0.303773064
dinosaur-elephant,2.33,0.562385321,-0.249164253,-0.143085586,-0.189426228,-0.367352426
clock_tower-stone,0.67,0.588996505,-0.001864016,0.267498344,0.048893633,-0.146385604
middle_east-euphrates,1.5,0.397343576,0.044392789,0.171222697,-0.117191054,0.011474493
meadow-grassland,3.58,0.669362227,0.068011899,0.365715824,-0.222367121,0.106758064
guitar-violin,3.17,0.768960027,0.239629507,0.555530939,0.097513128,0.185902566
diplomacy-negotiation,2.67,0.64800632,0.023036478,0.386216538,0.15408051,-0.013891913
gravity-meteor,0.75,0.514745831,-0.276095092,0.128704854,0.223621294,-0.223414898
iq-mensa,1.83,0.296799242,0.089383893,0.222779645,0.178394794,-0.056791723
union_jack-flag,3.17,0,0,0,0,0
earthquake-tremor,3.92,0.481496245,0.378781937,0.537374735,0.225283429,0.111106641
asset-stock,2.75,0.583099698,0.010616764,0.317266066,0.076010127,0.00392638
hebrew-jerusalem,1.75,0.608823657,0.225950602,0.405421019,-0.05500865,0.008723306
overcast-forecast,1.92,0.464905111,0.139377468,0.342504084,-0.029686399,0.104108095
dictionary-encyclopedia,2.83,0.726359649,-0.177841078,0.301338434,0.141341814,-0.055320896
mint-museum,1,0.24770768,0.121611133,0.313228983,0.114119298,0.227751748
chair-stool,3.08,0.309503555,-0.016036535,0.210095435,0.034372917,0.128429003
spanish-moisture,0,0.083134726,-0.007462774,0.17159678,-0.11723841,0.41026479
can-bottle,3.5,0.286324888,-0.19658075,0.016428985,-0.056606765,-0.001573002
fly-ant,2.92,0.501851737,0.119820319,0.407032054,0.073536456,0.213721978
myth-satire,1.92,0.503455252,-0.038304666,0.254878417,0.210876164,-0.155028621
city_center-bus,0.75,0,0,0,0,0
tail-boeing_747_200,1.92,0,0,0,0,0
artwork-artist,2.33,0.639057479,0.158049941,0.419952328,0.070295922,0.004321125
nato-alliance,3,0.364976168,0.018180713,0.215248823,-0.006676991,0.018952213
king-ruler,3.67,0.692913931,-0.051512957,0.414638306,0.318828036,-0.011950482
rhythm-cadence,3.58,0.70542196,-0.039097624,0.425813317,0.232039885,0.044495508
alexander_fleming-penicillin,2.5,0.60822568,0.089402655,0.148879096,-0.236591443,-0.226065235
flute-music,2.08,0.566196118,0.006542623,0.159194767,0.057092175,-0.353697023
gray_heron-lake,1.33,0,0,0,0,0
viscosity-splash,1.92,0.227080391,-0.253542602,-0.095209602,0.03670429,-0.165761809
hardware-case,1.67,0.235715555,0.014205027,0.179289843,-0.046466898,0.130860626
ring-engagement,1.25,0.148906305,0.011205291,-0.076162219,-0.289416211,-0.001527479
latin-german,2.92,0.339068662,0.130980297,0.312368739,-0.046440446,0.122591957
working_class-plant,1.75,0.116985358,0.04334193,0.195217341,0.125862911,0.138281339
shakespeare-dickens,3,0.703310174,0.199569115,0.525478777,0.110671631,0.080630908
paper_money-priest,0,0.100705405,0.068505578,0.252000108,0.072298606,0.265955345
tool-job,1.08,0.309406865,-0.107223846,0.193545229,0.201187369,0.041453816
pygmy_hog-suidae,3.42,0.751079485,0.046437496,0.417632083,-0.089134726,0.031672681
suffrage-exit,0.08,0.082769066,0.035301335,-0.065757647,-0.080697566,-0.168682292
star-brightness,1.58,0.427484448,-0.047007079,0.284304023,0.040246499,0.130463913
trout-guitar,0,0.182139956,-0.064248852,0.087075243,0.160633892,-0.076694017
dollar-millionaire,1.75,0.396031797,0.290247768,0.255049348,-0.175007194,-0.077230923
digit-number,3.92,0.44532701,0.060238909,0.301848888,0.250149101,-0.0517839
gale-blanket,0.42,0.174288163,0.177515875,0.292239244,0.281601991,0.001140021
obama-clinton,3.08,0.6998142,-0.365600304,0.05327614,-0.316896439,0.079075267
supporting_character-movie,1.67,0.525857122,0.201299438,0.456699339,0.042591502,0.19917756
juventus-bayern_munich,3,0.852363756,-0.159764796,0.323719224,-0.209513545,0.129115545
climate_change-precipitation,1.58,0.404709578,0.030148413,0.257799879,-0.067686476,0.147067934
ai-battery,0.42,0.164926002,-0.04366032,0.127353616,0.074612401,0.101911298
masterpiece-mona_lisa,2.67,0.593524098,0.08385775,0.257216081,-0.054545704,-0.117216259
crime-attack,2.75,0.298013866,0.114710554,0.140775545,0.00663776,-0.155825222
coronation-water,0,0.095948562,0.108932504,-0.2007092,-0.203316343,-0.376213357
vocalist-staff,1.75,0.148425645,-0.286154538,-0.171260238,0.100018157,-0.316736899
playoff-basketball,1.67,0.388051271,-0.1680305,0.046282837,-0.093116544,-0.033935703
armed_forces-defence,2.33,0.597904921,0.078117316,0.333095272,0.014928404,0.005576061
lake-cloud,0.83,0.199954152,-0.106195569,0.027447019,0.022316448,-0.06279254
monastery-shower,0.08,0.111808419,0.209679276,0.094659036,-0.099135265,-0.058848128
mother_tongue-language,3.17,0.785351157,0.11577089,0.351324648,-0.131791227,-0.130524628
harbor-wrapper,0.08,0.070702992,0.141344913,0.170637415,0.198004913,-0.076896019
demon-angel,2.67,0.575244597,0.053973592,0.226219135,-0.114887418,-0.140478143
cryptogram-symbol,2.33,0.386953675,-0.294240254,-0.060407705,-0.206223619,-0.001177067
campus-university,2.92,0.595211243,0.321588367,0.545193856,0.264126062,0.061975792
freedom-liberty,4,0.69790864,0.028944868,0.389236838,-0.103259495,0.09816052
typhoon-cyclone,3.83,0.849934161,-0.356670111,0.158671409,-0.137100905,-0.062062986
handbook-guidebook,3.92,0.645071545,-0.03346109,0.10318438,-0.136448324,-0.312605876
ebola-ebola_virus,4,0.768787026,-0.004210316,0.3119516,-0.149783149,-0.052097264
princess-biscuit,0.08,0.152615577,0.114163144,0.325801233,0.090519156,0.372637451
train-tram,3.5,0.738008484,-0.135981604,0.338971425,0.065948464,0.048679515
ecosystem-economy,0.92,0.434057772,-0.213032633,-0.016261512,-0.114289582,-0.139599741
queen_regnant-chess_queen,0.92,0,0,0,0,0
gold-zinc,3,0.513165505,-0.057427354,0.249633282,0.071339548,-0.04262071
cursor-chips,0.25,0.411653191,-0.013796331,0.135990471,-0.134759873,-0.015968903
amazon-forest,3.08,0.33471176,-0.356003276,0.050337034,-0.171432674,0.293579417
tennis-statistics,0.58,0.196552765,0.005676667,0.165781602,0.159479827,0.033361795
bolzano-theorem,2.25,0.117019936,-0.025169624,0.080738817,0.112207576,-0.040311582
altitude-conversion,0.08,0.159804279,-0.255087525,-0.1172539,-0.167901173,0.024323267
boat-tree,0.25,0.226783885,-0.145933986,0.065955542,0.170118481,-0.112805731
throne-sword,1,0.360652834,-0.038813859,0.215309543,0.140652329,0.006285805
cotton-sweater,1.83,0.362408034,-0.28245452,0.001515063,-0.003938113,-0.073130764
cherry-strawberry,3,0.800687945,0.0307543,0.481545389,0.157324269,0.037021957
islam-quran,2.5,0.745130822,-0.227100238,0.289345384,0.167106479,-0.100680432
neanderthal-sport,0,0.085030809,-0.033169538,0.091231577,0.197186381,-0.038039822
nepotism-king,1.42,0.21791066,0.122653149,0.166146258,0.030749811,-0.029272159
character-person,2.67,0.457424581,0.097771516,0.195834503,-0.114493258,-0.086347222
tank-car,2.33,0.488984437,0.003173243,0.260838062,-0.03526968,0.074852406
mercury-jupiter,3.17,0.644043684,0.067405403,0.467443883,0.164085303,0.257961273
bronchitis-acetaminophen,1.67,0.599169242,-0.125709899,0.195325419,-0.016611774,-0.051894572
blood-body,2,0.596471179,0.116257906,0.480109841,0.222896907,0.210413426
islamophobia-isis,1.92,0.144869783,0.065679163,0.040278161,-0.139895707,0.011825935
crochet-uniform,1.17,0.39156583,-0.090541298,0.139788545,-0.009536433,-0.035545895
hadoop-touchscreen,0.67,0.540115237,-0.101883188,0.246517688,-0.132324189,0.155562639
fossil_fuel-fossil,2.08,0.314799488,-0.048960872,0.11697869,0.0515933,-0.067234799
mutant-sociobiology,0.75,0.226293862,-0.121908195,0.069924567,-0.046091214,0.080178201
sister-brother,2.67,0.757038042,-0.005316343,0.454530001,0.178556472,0.203367913
pencil-story,1.08,0.275236249,-0.040043097,0.11576286,-0.009729356,0.007474929
eczema-dermatitis,4,0.916487629,-0.167997698,0.399419689,-0.135114849,0.227968649
emperor-governor,3.67,0.387874603,0.258095235,0.362931371,0.084128365,0.060273349
crown-key,0.25,0.209266096,-0.00018518,0.195729416,0.262925565,-0.050790533
algebra-operation,1.67,0.178678668,-0.077853376,0.030473662,0.039425314,-0.070303903
piston-engine,2.33,0.716267781,0.254666299,0.429512854,-0.058063365,-0.139305351
scholarship-tuition,2.42,0.58344618,0.021519188,0.214511096,-0.050628233,-0.176746562
book-manuscript,3.17,0.617898762,-0.012177237,0.305184268,-0.027013157,0.091922102
lantana-snapdragon,3,0.463709146,0.126547508,0.398701334,0.079690963,0.253049806
black_hole-vacuum,2.33,0.536956608,-0.17446821,0.090672337,-0.233530282,0.029724695
persian_empire-cyrus,1.83,0.612194932,-0.181781273,0.32372272,-0.001838846,0.190681406
editorial-news,2.42,0.60727942,0.152124772,0.402015686,-0.048955376,0.101232409
decoration-envelope,0.08,0.313022871,-0.11505521,-0.021607248,0.020544438,-0.26336296
whale_shark-lobster,2.25,0.70638035,-0.000278942,0.396900296,0.209110332,-0.055959411
corn-maize,4,0.892612749,-0.280010713,0.350569111,0.027791466,0.151811775
bipolar_disorder-problem,2.25,0.359653375,0.00641473,0.303891599,0.076899566,0.256092251
acid-base,2.67,0.222557573,-0.017569181,0.085710918,0.0806578,-0.081197331
absolute_zero-vapor,1.42,0.607685543,0.114331699,0.505536973,0.162695855,0.229435814
green_revolution-paint,0,0.153137803,0.162858347,0.286505299,0.227034269,0.083339766
operating_system-deep_learning,1.5,0,0,0,0,0
international_mathematical_olympiad-theory,1,0.209454325,-0.089800417,0.00033797,-0.30849697,0.189433306
el_nino-equator,0.83,0.347817063,-0.007854663,0.284578919,0.135519706,0.130466327
badge-glass,0,0.244212731,-0.043573188,0.159118369,0.087921898,0.069951397
mansion-sculptor,1,0.289429294,-0.020373862,0.007106183,-0.013130043,-0.243985653
atmosphere-ozone,2.58,0.601634741,-0.179254274,0.145798215,-0.224700196,0.087956935
shield-buckler,3.67,0.45619756,0.172560632,0.197612282,-0.032818049,-0.278301448
coin-payment,1.75,0.444766164,0.251470089,0.415464486,0.222508252,0.029976116
oat-field,1.17,0.16937314,0.145537066,0.127249345,-0.129157946,0.029260416
monk-cross,0.33,0.192664981,0.000677075,0.066896003,0.014764409,-0.054473792
gunboat-coast,1.42,0.393661499,0.356917322,0.288511599,-0.202504218,-0.112416297
rock-mine,1.75,0.319639913,0.042532459,0.223438606,0.122374564,-0.007952304
legend-moral,1,0.15882865,-0.114657707,0.076508482,-0.017512162,0.13062656
champion-winner,3.75,0.687256515,0.008973133,0.332965493,-0.166215062,0.094920641
dice-cube,3,0.511738896,0.023286913,0.32951498,-0.039001092,0.216626734
topology-structure,1.83,0.490358204,0.365264237,0.544284875,0.318762622,0.408906276
chapel-cable,0.25,0.086020571,0.227477849,0.414757043,0.310420655,0.281825632
cash_flow-river,0,0.118479565,-0.029133301,-0.008614987,0.019368655,-0.122791685
serial_killer-murderer,3.5,0.79702425,-0.141194791,0.354619226,0.136531219,-0.048231736
matrix-molecule,0,0.527847588,0.049587645,0.320812345,0.04344515,0.015224295
fashion-style,3.17,0.58778882,0.100653398,0.399326527,0.148804322,0.03517143
vexillology-flag,2.33,0.573451877,0.080968251,0.395094222,0.1669368,0.040038122
maastricht_treaty-europe,2.17,0.364739031,-0.133231431,0.100324927,0.003553055,-0.020612258
geyser-spring,3.25,0.306537021,0.081610471,0.183752447,-0.064770758,0.027225325
sucrose-carbohydrate,3.58,0.874466233,-0.132766277,0.455125779,0.327279289,-0.013332959
beach-coast,3.83,0.60269624,-0.217625976,0.094892277,-0.225303426,-0.000102284
stock_market-stock_exchange,3.25,0.682935476,0.076255393,0.419537127,0.007937126,0.167820334
tradition-handicraft,1.58,0.410865426,0.18990808,0.413214386,0.126902066,0.178995575
